No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
1,2010,1,1,0,,-21,-11,1021,NW,1.79,0,0
2,2010,1,1,1,,-21,-12,1020,NW,4.92,0,0
4,2010,1,1,3,,-21,-14,1019,NW,9.84,0,0
5,2010,1,1,4,,-20,-12,1018,NW,12.97,0,0
6,2010,1,1,5,,-19,-10,1017,NW,16.1,0,0
8,2010,1,1,7,,-19,-9,1017,NW,21.02,0,0
9,2010,1,1,8,,-19,-9,1017,NW,24.15,0,0
10,2010,1,1,9,,-20,-8,1017,NW,27.28,0,0
11,2010,1,1,10,,-19,-7,1017,NW,31.3,0,0
12,2010,1,1,11,,-18,-5,1017,NW,34.43,0,0
13,2010,1,1,12,,-19,-5,1015,NW,37.56,0,0
17,2010,1,1,16,,-19,-2,1015,NW,1.79,0,0
18,2010,1,1,17,,-18,-3,1015,NW,2.68,0,0
20,2010,1,1,19,,-17,-4,1017,NW,1.79,0,0
21,2010,1,1,20,,-17,-5,1017,cv,0.89,0,0
22,2010,1,1,21,,-17,-5,1018,NW,1.79,0,0
27,2010,1,2,2,159,-11,-5,1021,SE,3.57,0,0
28,2010,1,2,3,181,-7,-5,1022,SE,5.36,1,0
30,2010,1,2,5,109,-7,-6,1022,SE,7.14,3,0
31,2010,1,2,6,105,-7,-6,1023,SE,8.93,4,0
32,2010,1,2,7,124,-7,-5,1024,SE,10.72,0,0
33,2010,1,2,8,120,-8,-6,1024,SE,12.51,0,0
34,2010,1,2,9,132,-7,-5,1025,SE,14.3,0,0
38,2010,1,2,13,164,-8,-5,1025,SE,27.71,0,0
40,2010,1,2,15,154,-9,-5,1025,SE,35.75,0,0
41,2010,1,2,16,159,-9,-5,1026,SE,37.54,0,0
44,2010,1,2,19,149,-8,-5,1028,SE,44.25,0,0
45,2010,1,2,20,154,-7,-5,1028,SE,46.04,0,0
48,2010,1,2,23,126,-8,-6,1027,SE,55.43,3,0
49,2010,1,3,0,90,-7,-6,1027,SE,58.56,4,0
50,2010,1,3,1,63,-8,-6,1026,SE,61.69,5,0
51,2010,1,3,2,65,-8,-7,1026,SE,65.71,6,0
53,2010,1,3,4,65,-8,-7,1024,SE,72.86,8,0
55,2010,1,3,6,91,-10,-8,1024,SE,80.9,10,0
56,2010,1,3,7,86,-10,-9,1024,SE,84.92,11,0
58,2010,1,3,9,86,-11,-9,1023,SE,93.86,13,0
59,2010,1,3,10,78,-11,-9,1023,SE,97.88,15,0
60,2010,1,3,11,98,-11,-9,1022,SE,102.8,16,0
62,2010,1,3,13,90,-11,-9,1020,SE,111.74,19,0
64,2010,1,3,15,95,-11,-9,1020,SE,121.58,21,0
65,2010,1,3,16,86,-11,-9,1020,SE,124.71,22,0
66,2010,1,3,17,70,-11,-9,1020,SE,127.84,23,0
69,2010,1,3,20,71,-10,-9,1022,NW,4.02,26,0
71,2010,1,3,22,76,-11,-9,1023,NW,11.17,0,0
72,2010,1,3,23,73,-12,-11,1023,NW,14.3,0,0
77,2010,1,4,4,28,-19,-11,1025,NW,48.72,0,0
79,2010,1,4,6,20,-21,-12,1027,NW,64.81,0,0
80,2010,1,4,7,29,-21,-13,1027,NW,73.75,0,0
81,2010,1,4,8,26,-22,-13,1028,NW,80.9,0,0
82,2010,1,4,9,27,-22,-13,1029,NW,90.73,0,0
83,2010,1,4,10,27,-22,-12,1030,NW,100.56,0,0
86,2010,1,4,13,32,-20,-10,1030,NW,127.38,0,0
88,2010,1,4,15,29,-21,-9,1030,NW,145.26,0,0
89,2010,1,4,16,30,-21,-9,1031,NW,152.41,0,0
91,2010,1,4,18,28,-23,-11,1032,NW,165.37,0,0
93,2010,1,4,20,31,-24,-12,1034,NW,180.12,0,0
96,2010,1,4,23,31,-26,-15,1035,NW,198.45,0,0
97,2010,1,5,0,30,-26,-17,1035,NW,201.58,0,0
99,2010,1,5,2,27,-26,-19,1035,NW,208.73,0,0
100,2010,1,5,3,25,-27,-18,1035,NW,213.65,0,0
101,2010,1,5,4,28,-27,-19,1035,NW,218.57,0,0
103,2010,1,5,6,27,-26,-16,1035,NE,8.05,0,0
105,2010,1,5,8,27,-26,-16,1035,NE,18.78,0,0
107,2010,1,5,10,36,-25,-14,1035,NE,29.51,0,0
108,2010,1,5,11,30,-25,-13,1035,NE,34.43,0,0
109,2010,1,5,12,27,-25,-12,1034,NE,39.35,0,0
110,2010,1,5,13,39,-24,-11,1032,NE,41.14,0,0
112,2010,1,5,15,33,-23,-11,1031,NW,1.79,0,0
113,2010,1,5,16,50,-24,-11,1031,NW,3.58,0,0
114,2010,1,5,17,56,-23,-11,1031,NW,5.37,0,0
115,2010,1,5,18,59,-23,-11,1032,NW,7.16,0,0
116,2010,1,5,19,60,-22,-13,1033,NW,10.29,0,0
117,2010,1,5,20,84,-22,-12,1033,NW,13.42,0,0
119,2010,1,5,22,66,-22,-13,1034,NW,20.57,0,0
120,2010,1,5,23,50,-22,-16,1033,NW,23.7,0,0
121,2010,1,6,0,56,-25,-17,1033,NW,26.83,0,0
122,2010,1,6,1,77,-25,-14,1033,NE,4.02,0,0
123,2010,1,6,2,50,-26,-14,1034,NE,8.04,0,0
124,2010,1,6,3,44,-26,-14,1033,NE,13.85,0,0
126,2010,1,6,5,28,-26,-14,1033,NE,23.68,0,0
127,2010,1,6,6,21,-26,-14,1033,NE,28.6,0,0
128,2010,1,6,7,25,-26,-15,1034,NE,33.52,0,0
129,2010,1,6,8,20,-26,-14,1034,NE,39.33,0,0
132,2010,1,6,11,42,-24,-11,1035,NE,54.98,0,0
134,2010,1,6,13,36,-22,-10,1033,NW,4.02,0,0
136,2010,1,6,15,49,-22,-8,1033,cv,0.89,0,0
138,2010,1,6,17,56,-21,-9,1033,NW,3.58,0,0
139,2010,1,6,18,96,-22,-9,1033,NW,5.37,0,0
141,2010,1,6,20,105,-22,-12,1035,NW,1.79,0,0
142,2010,1,6,21,132,-21,-14,1034,NW,3.58,0,0
144,2010,1,6,23,131,-21,-16,1035,NW,7.16,0,0
145,2010,1,7,0,127,-21,-16,1035,NW,8.95,0,0
147,2010,1,7,2,43,-22,-18,1036,cv,1.34,0,0
150,2010,1,7,5,28,-25,-15,1035,NW,10.28,0,0
151,2010,1,7,6,24,-24,-15,1035,NW,14.3,0,0
156,2010,1,7,11,42,-20,-10,1036,NW,16.09,0,0
158,2010,1,7,13,55,-21,-8,1034,NW,21.01,0,0
159,2010,1,7,14,52,-20,-7,1033,NW,22.8,0,0
160,2010,1,7,15,51,-20,-7,1032,NW,24.59,0,0
161,2010,1,7,16,57,-18,-8,1032,NW,26.38,0,0
162,2010,1,7,17,50,-19,-9,1032,NW,28.17,0,0
164,2010,1,7,19,67,-18,-11,1033,NW,1.79,0,0
